watch_id,name,brand,price,material,reference,condition,image_url
100,Pre-Owned Rolex Explorer 36 Stainless Steel 114270 MKI Dial,Rolex,7995.0,Stainless Steel,114270,Used,https://www.bobswatches.com/images/zUsed-Rolex-Explorer-36-114270-SKU185449.jpg
101,Used 18k White Gold Rolex Submariner 126619LB Cookie Monster,Rolex,37595.0,White Gold,126619LB,Used,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-126619-SKU186599.jpg
102,Pre-Owned Steel Rolex Sea-Dweller 126600 Black Dial,Rolex,15295.0,Stainless Steel,126600,Used,https://www.bobswatches.com/images/zUsed-Rolex-Sea-Dweller-126600-SKU186867.jpg
103,Pre-Owned Rolex Yacht-Master 42 Ref 226659 Black Dial,Rolex,29995.0,White Gold,226659,Used,https://www.bobswatches.com/images/zUsed-Rolex-Yacht-Master-42-226659-SKU186914.jpg
104,Used Two Tone Rolex Sea-Dweller 126603 Black Chromalight Dial,Rolex,17695.0,Steel and Gold,126603,Used,https://www.bobswatches.com/images/zUsed-Rolex-Sea-Dweller-126603-SKU186533.jpg
105,Pre-Owned Black Dial Rolex Sea-Dweller 126603,Rolex,17295.0,Steel and Gold,126603,Used,https://www.bobswatches.com/images/zUsed-Rolex-Sea-Dweller-126603-SKU186331.jpg
106,Used Rolex Submariner Ref 126613LN Black Dial,Rolex,19295.0,Steel and Gold,126613,Used,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-126613-SKU185571.jpg
107,Pre-Owned Rolex Submariner 16610V Green Kermit,Rolex,16495.0,Stainless Steel,16610V,Used,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-16610V-SKU184967.jpg
108,Pre-Owned Ladies Rolex Datejust 31 Ref 278288 Mother of Pearl Diamond Dial,Rolex,64995.0,Yellow Gold,278288,Used,https://www.bobswatches.com/images/zUsed-Rolex-Datejust-31-278288-SKU187387-PL.jpg
109,Vintage Breitling Navitimer Black Dial,Breitling,5995.0,Stainless Steel,806,Used,https://www.bobswatches.com/breitling/images/zUsed-Breitling-Navitimer-806-SKU187256.jpg
110,Pre-Owned Rolex Datejust 41 Champagne Dial 126333,Rolex,16295.0,Steel and Gold,126333,Used,https://www.bobswatches.com/images/zUsed-Rolex-Datejust-41-126333-Champagne-Dial-SKU187403-PL.jpg
